business_name,category,city,address,phone,source
Isaac Motors,Automobile Repair,Delhi,"43/321, Chahal Circle, Delhi",+91 7731428289,Sulekha
Pahal Beauty Parlour,Salon & Spa,Jaipur,"H.No. 133, Bala Circle, Jaipur",,Google Maps
Rushil Kirana Store,Grocery Store,Hyderabad,"794, Dutta Nagar, Hyderabad",+91 9129581426,Justdial
Oak General Store,Grocery Store,Ahmedabad,"H.No. 23, Chaudry Path, Ahmedabad",+91 7523165392,Justdial
George Medical Center,Clinic,Bengaluru,"H.No. 559, Bassi Road, Bengaluru",+91 8244922676,Justdial
Yadav Realty,Real Estate Agency,Kolkata,"H.No. 618, Pathak Road, Kolkata",+91 8757126361,Justdial
Boase Unisex Salon,Salon & Spa,Jaipur,"H.No. 341, Chaudhuri Ganj, Jaipur",+91 9308719116,Google Maps
Mall Auto Works,Automobile Repair,Hyderabad,"52, Pant Path, Hyderabad",+91 9839223238,Justdial
Loke Clinic,Clinic,Ahmedabad,"19/283, Shere Street, Ahmedabad",+91 7686597841,Justdial
Ladli Chemist,Pharmacy,Delhi,"83/503, Mutti Nagar, Delhi",+91 7535470589,Justdial
Nandini Healthcare,Clinic,Jaipur,"H.No. 395, Tata Ganj, Jaipur",+91 9517617331,Google Maps
Shanker Properties,Real Estate Agency,Mumbai,"423, Yohannan Circle, Mumbai",+91 7691384341,Sulekha
Sangha Fitness Studio,Gym & Fitness Center,Hyderabad,"65/32, Tak Circle, Hyderabad",+91 9106470142,Google Maps
Gavin Healthcare,Clinic,Bengaluru,"H.No. 226, Bhatt, Bengaluru",+91 7860986622,Justdial
Raj Photography,Photography Studio,Lucknow,"78/48, Contractor Nagar, Lucknow",+91 7453276784,Justdial
Amara Spa,Salon & Spa,Mumbai,"H.No. 462, Aggarwal Chowk, Mumbai",+91 9595499192,Justdial
Tella Coaching Classes,Coaching Center,Delhi,"814, Issac Circle, Delhi",+91 8533779352,Justdial
Michael Tools & Hardware,Hardware Store,Mumbai,"880, Naik, Mumbai",+91 8114624621,Justdial
Bahl Bakery,Bakery,Bengaluru,"H.No. 543, Khosla Nagar, Bengaluru",+91 9869944522,Sulekha
Farhan Tea Point,Cafe,Bengaluru,"71/822, Gandhi Chowk, Bengaluru",+91 9093776540,Sulekha
Wable General Store,Grocery Store,Bengaluru,"63/83, Rastogi Road, Bengaluru",+91 9551479514,Google Maps
Sarma Academy,Coaching Center,Kolkata,"71/33, Nigam Zila, Kolkata",+91 8189450306,Google Maps
Ansh Kitchen,Restaurant,Hyderabad,"30/10, Bir Ganj, Hyderabad",+91 9673919071,Sulekha
Azad Tea Point,Cafe,Bengaluru,"H.No. 834, Kala Chowk, Bengaluru",+91 8801531643,Justdial
Solanki Hardware,Hardware Store,Lucknow,"763, Chatterjee Zila, Lucknow",+91 9474836365,Sulekha
Pandya Medical Center,Clinic,Pune,"67, Chaudhari Nagar, Pune",+91 8479425860,Google Maps
Rau General Store,Grocery Store,Delhi,"51/333, Sen Circle, Delhi",+91 7754087128,Google Maps
Logan Restaurant,Restaurant,Delhi,"473, Savant Zila, Delhi",,Google Maps
Guneet Estates,Real Estate Agency,Kolkata,"80/132, Sunder Marg, Kolkata",+91 9192173624,Google Maps
Kala Hardware,Hardware Store,Bengaluru,"02, Agate Marg, Bengaluru",+91 9646063354,Google Maps
Lanka Unisex Salon,Salon & Spa,Delhi,"46, Sur Circle, Delhi",+91 8530317100,Sulekha
Mohammed Garage,Automobile Repair,Delhi,"H.No. 30, Bhat, Delhi",+91 9623324322,Google Maps
Bhandari General Store,Grocery Store,Hyderabad,"H.No. 978, Dugar Circle, Hyderabad",+91 7912770637,Google Maps
Trivedi Estates,Real Estate Agency,Delhi,"H.No. 219, Keer Zila, Delhi",+91 9136980855,Google Maps
Netra Beauty Parlour,Salon & Spa,Hyderabad,"39/90, Bumb, Hyderabad",+91 7700462565,Google Maps
Oni Mobile Store,Electronics Store,Pune,"H.No. 43, Khare Path, Pune",+91 9569269638,Justdial
Randhawa Bakery,Bakery,Jaipur,"475, Andra Zila, Jaipur",+91 7713317665,Sulekha
Tara Chemist,Pharmacy,Jaipur,"H.No. 838, Deo Road, Jaipur",+91 7164386569,Justdial
Ikshita Hardware,Hardware Store,Jaipur,"542, Mittal Chowk, Jaipur",+91 7262534356,Google Maps
Abhiram Coaching Classes,Coaching Center,Delhi,"12/411, Dugal Circle, Delhi",+91 9917284668,Google Maps
Anita Tutorials,Coaching Center,Lucknow,"35/34, Suresh Circle, Lucknow",+91 9154086503,Sulekha
Behl Hardware,Hardware Store,Kolkata,"H.No. 640, Nath Nagar, Kolkata",+91 8029541285,Justdial
Lala Cake Shop,Bakery,Bengaluru,"786, Andra Circle, Bengaluru",+91 9463719508,Google Maps
Isaac Fashion,Clothing Store,Lucknow,"28/059, Divan Circle, Lucknow",+91 8657644760,Google Maps
Qushi Studio,Photography Studio,Kolkata,"H.No. 450, Kade Path, Kolkata",+91 7516967433,Sulekha
Zaid Chemist,Pharmacy,Chennai,"H.No. 86, Dubey, Chennai",+91 7981096951,Google Maps
Gaba Studio,Photography Studio,Bengaluru,"602, Sabharwal Path, Bengaluru",+91 9432782512,Google Maps
Yuvraj Healthcare,Clinic,Chennai,"160, Kapadia Chowk, Chennai",+91 9252793130,Justdial
Sharma Hardware,Hardware Store,Ahmedabad,"H.No. 43, Bajwa Ganj, Ahmedabad",+91 8387946265,Google Maps
Reyansh Dhaba,Restaurant,Kolkata,"H.No. 41, Panchal Road, Kolkata",+91 8447882309,Sulekha
Yashodhara Bakery,Bakery,Jaipur,"85/014, Lanka Street, Jaipur",,Sulekha
Balvan Photography,Photography Studio,Bengaluru,"65/56, Vaidya, Bengaluru",+91 7485266333,Google Maps
Rajan Kitchen,Restaurant,Chennai,"34/06, Venkatesh Nagar, Chennai",+91 7688399399,Google Maps
Patla Motors,Automobile Repair,Delhi,"15, Murthy, Delhi",+91 8331691351,Sulekha
Jeet Electronics,Electronics Store,Hyderabad,"46/56, Datta Road, Hyderabad",+91 7081233509,Sulekha
Salvi Digital Studio,Photography Studio,Kolkata,"62/994, Acharya Marg, Kolkata",+91 9656642527,Justdial
Mangat Electronics,Electronics Store,Delhi,"699, Shroff Path, Delhi",+91 7728836158,Justdial
Riya Gym,Gym & Fitness Center,Chennai,"38/721, Varma Road, Chennai",,Google Maps
Chander Bakery,Bakery,Kolkata,"433, Bakshi Street, Kolkata",+91 7914656025,Sulekha
Konda Hardware,Hardware Store,Pune,"91, Sachdeva Chowk, Pune",+91 7855933405,Sulekha
Robert Healthcare,Clinic,Mumbai,"63, Ahluwalia Street, Mumbai",+91 9387251114,Justdial
Hredhaan Coaching Classes,Coaching Center,Jaipur,"287, Krish Nagar, Jaipur",+91 7622843386,Google Maps
Jairaj Chemist,Pharmacy,Pune,"788, Nadig, Pune",+91 8764397900,Google Maps
Saanvi Fitness Center,Gym & Fitness Center,Pune,"87, Soman Street, Pune",+91 9041951145,Sulekha
Lad Estates,Real Estate Agency,Delhi,"487, Maharaj Ganj, Delhi",+91 8338252753,Justdial
Ria Pharmacy,Pharmacy,Chennai,"43/455, Buch Circle, Chennai",+91 8242398777,Sulekha
Dora Photography,Photography Studio,Bengaluru,"623, Sachdeva Zila, Bengaluru",+91 7001349829,Justdial
